,actual,forecast
2015-01-02,24.261051177978516,
2015-01-03,24.261051177978516,
2015-01-04,24.261051177978516,
2015-01-05,23.57757568359375,
2015-01-06,23.579795837402344,
2015-01-07,23.91043472290039,
2015-01-08,24.829124450683594,
2015-01-09,24.855756759643555,
2015-01-10,24.855756759643555,
2015-01-11,24.855756759643555,
2015-01-12,24.2432918548584,
2015-01-13,24.458547592163086,
2015-01-14,24.365346908569336,
2015-01-15,23.704063415527344,
2015-01-16,23.51987648010254,
2015-01-17,23.51987648010254,
2015-01-18,23.51987648010254,
2015-01-19,23.51987648010254,
2015-01-20,24.125686645507812,
2015-01-21,24.30986976623535,
2015-01-22,24.94230079650879,
2015-01-23,25.07101058959961,
2015-01-24,25.07101058959961,
2015-01-25,25.07101058959961,
2015-01-26,25.097639083862305,
2015-01-27,24.218883514404297,
2015-01-28,25.58804702758789,
2015-01-29,26.384689331054688,
2015-01-30,25.99857521057129,
2015-01-31,25.99857521057129,
2015-02-01,25.99857521057129,
2015-02-02,26.32478141784668,
2015-02-03,26.32921600341797,
2015-02-04,26.531150817871094,
2015-02-05,26.720518112182617,
2015-02-06,26.495502471923828,
2015-02-07,26.495502471923828,
2015-02-08,26.495502471923828,
2015-02-09,26.6715087890625,
2015-02-10,27.183900833129883,
2015-02-11,27.82106590270996,
2015-02-12,28.173059463500977,
2015-02-13,28.311180114746094,
2015-02-14,28.311180114746094,
2015-02-15,28.311180114746094,
2015-02-16,28.311180114746094,
2015-02-17,28.478271484375,
2015-02-18,28.676544189453125,
2015-02-19,28.61639404296875,
2015-02-20,28.850318908691406,
2015-02-21,28.850318908691406,
2015-02-22,28.850318908691406,
2015-02-23,29.630054473876953,
2015-02-24,29.44514274597168,
2015-02-25,28.692142486572266,
2015-02-26,29.055265426635742,
2015-02-27,28.618621826171875,
2015-02-28,28.618621826171875,
2015-03-01,28.618621826171875,
2015-03-02,28.75897979736328,
2015-03-03,28.819133758544922,
2015-03-04,28.636442184448242,
2015-03-05,28.161914825439453,
2015-03-06,28.204248428344727,
2015-03-07,28.204248428344727,
2015-03-08,28.204248428344727,
2015-03-09,28.32455062866211,
2015-03-10,27.73863410949707,
2015-03-11,27.232919692993164,
2015-03-12,27.725257873535156,
2015-03-13,27.533674240112305,
2015-03-14,27.533674240112305,
2015-03-15,27.533674240112305,
2015-03-16,27.836652755737305,
2015-03-17,28.30226707458496,
2015-03-18,28.62085723876953,
2015-03-19,28.404752731323242,
2015-03-20,28.048303604125977,
2015-03-21,28.048303604125977,
2015-03-22,28.048303604125977,
2015-03-23,28.34014320373535,
2015-03-24,28.224294662475586,
2015-03-25,27.48688316345215,
2015-03-26,27.67848014831543,
2015-03-27,27.457921981811523,
2015-03-28,27.457921981811523,
2015-03-29,27.457921981811523,
2015-03-30,28.15300750732422,
2015-03-31,27.72080421447754,
2015-04-01,27.680709838867188,
2015-04-02,27.919076919555664,
2015-04-03,27.919076919555664,
2015-04-04,27.919076919555664,
2015-04-05,27.919076919555664,
2015-04-06,28.37133026123047,
2015-04-07,28.07280731201172,
2015-04-08,27.981468200683594,
2015-04-09,28.195337295532227,
2015-04-10,28.31563377380371,
2015-04-11,28.31563377380371,
2015-04-12,28.31563377380371,
2015-04-13,28.25994110107422,
2015-04-14,28.137409210205078,
2015-04-15,28.24434471130371,
2015-04-16,28.10845184326172,
2015-04-17,27.79209327697754,
2015-04-18,27.79209327697754,
2015-04-19,27.79209327697754,
2015-04-20,28.42702865600586,
2015-04-21,28.273317337036133,
2015-04-22,28.65426254272461,
2015-04-23,28.888187408447266,
2015-04-24,29.02408790588379,
2015-04-25,29.02408790588379,
2015-04-26,29.02408790588379,
2015-04-27,29.55207633972168,
2015-04-28,29.086467742919922,
2015-04-29,28.658723831176758,
2015-04-30,27.88121223449707,
2015-05-01,28.727783203125,
2015-05-02,28.727783203125,
2015-05-03,28.727783203125,
2015-05-04,28.672088623046875,
2015-05-05,28.026031494140625,
2015-05-06,27.85002326965332,
2015-05-07,28.02227783203125,
2015-05-08,28.55024528503418,
2015-05-09,28.55024528503418,
2015-05-10,28.55024528503418,
2015-05-11,28.259416580200195,
2015-05-12,28.158756256103516,
2015-05-13,28.19007110595703,
2015-05-14,28.847787857055664,
2015-05-15,28.807525634765625,
2015-05-16,28.807525634765625,
2015-05-17,28.807525634765625,
2015-05-18,29.12518882751465,
2015-05-19,29.098344802856445,
2015-05-20,29.096105575561523,
2015-05-21,29.393640518188477,
2015-05-22,29.650903701782227,
2015-05-23,29.650903701782227,
2015-05-24,29.650903701782227,
2015-05-25,29.650903701782227,
2015-05-26,28.997671127319336,
2015-05-27,29.539051055908203,
2015-05-28,29.48089027404785,
2015-05-29,29.145328521728516,
2015-05-30,29.145328521728516,
2015-05-31,29.145328521728516,
2015-06-01,29.203489303588867,
2015-06-02,29.073747634887695,
2015-06-03,29.109525680541992,
2015-06-04,28.939510345458984,
2015-06-05,28.780675888061523,
2015-06-06,28.780675888061523,
2015-06-07,28.780675888061523,
2015-06-08,28.590513229370117,
2015-06-09,28.50550651550293,
2015-06-10,28.832128524780273,
2015-06-11,28.76724624633789,
2015-06-12,28.449575424194336,
2015-06-13,28.449575424194336,
2015-06-14,28.449575424194336,
2015-06-15,28.393646240234375,
2015-06-16,28.545774459838867,
2015-06-17,28.478656768798828,
2015-06-18,28.60841178894043,
2015-06-19,28.322059631347656,
2015-06-20,28.322059631347656,
2015-06-21,28.322059631347656,
2015-06-22,28.548011779785156,
2015-06-23,28.418254852294922,
2015-06-24,28.659868240356445,
2015-06-25,28.523399353027344,
2015-06-26,28.355615615844727,
2015-06-27,28.355615615844727,
2015-06-28,28.355615615844727,
2015-06-29,27.85897445678711,
2015-06-30,28.06031036376953,
2015-07-01,28.322059631347656,
2015-07-02,28.286266326904297,
2015-07-03,28.286266326904297,
2015-07-04,28.286266326904297,
2015-07-05,28.286266326904297,
2015-07-06,28.187837600708008,
2015-07-07,28.118486404418945,
2015-07-08,27.42049789428711,
2015-07-09,26.86121368408203,
2015-07-10,27.579334259033203,
2015-07-11,27.579334259033203,
2015-07-12,27.579334259033203,
2015-07-13,28.111764907836914,
2015-07-14,28.100576400756836,
2015-07-15,28.371274948120117,
2015-07-16,28.749351501464844,
2015-07-17,28.997671127319336,
2015-07-18,28.997671127319336,
2015-07-19,28.997671127319336,
2015-07-20,29.545772552490234,
2015-07-21,29.250469207763672,
2015-07-22,28.013334274291992,
2015-07-23,27.999914169311523,
2015-07-24,27.85226058959961,
2015-07-25,27.85226058959961,
2015-07-26,27.85226058959961,
2015-07-27,27.465234756469727,
2015-07-28,27.60170555114746,
2015-07-29,27.51445198059082,
2015-07-30,27.375749588012695,
2015-07-31,27.136381149291992,
2015-08-01,27.136381149291992,
2015-08-02,27.136381149291992,
2015-08-03,26.49655532836914,
2015-08-04,25.64645004272461,
2015-08-05,25.816469192504883,
2015-08-06,25.87265396118164,
2015-08-07,25.960296630859375,
